"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Moradores, número (operação: Soma)";"Frequência";"Observações"
"9115";"Município (1991)";"290140";"Angical";"201";"1991";"8004";"1991";"Particular permanente";"1";"1";"16.024";"3135";"3135"
"9115";"Município (1991)";"220060";"Angical do Piauí";"202";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.124";"1538";"1538"
"9115";"Município (1991)";"240080";"Angicos";"203";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.437";"3111";"3111"
"9115";"Município (1991)";"330010";"Angra dos Reis";"204";"1991";"8004";"1991";"Particular permanente";"1";"1";"84.810";"21299";"21299"
"9115";"Município (1991)";"290150";"Anguera";"205";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.849";"1636";"1636"
"9115";"Município (1991)";"520120";"Anhanguera";"206";"1991";"8004";"1991";"Particular permanente";"1";"1";"840";"217";"217"
"9115";"Município (1991)";"350230";"Anhembi";"207";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.443";"950";"950"
"9115";"Município (1991)";"350240";"Anhumas";"208";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.224";"794";"794"
"9115";"Município (1991)";"520130";"Anicuns";"209";"1991";"8004";"1991";"Particular permanente";"1";"1";"18.115";"4585";"4585"
"9115";"Município (1991)";"220070";"Anísio de Abreu";"210";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.355";"2008";"2008"
"9115";"Município (1991)";"420100";"Anita Garibaldi";"211";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.998";"2557";"2557"
"9115";"Município (1991)";"420110";"Anitápolis";"212";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.563";"874";"874"
"9115";"Município (1991)";"130010";"Anori";"213";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.981";"1626";"1626"
"9115";"Município (1991)";"430070";"Anta Gorda";"214";"1991";"8004";"1991";"Particular permanente";"1";"1";"6.865";"1634";"1634"
"9115";"Município (1991)";"290160";"Antas";"215";"1991";"8004";"1991";"Particular permanente";"1";"1";"17.016";"3867";"3867"
"9115";"Município (1991)";"410120";"Antonina";"216";"1991";"8004";"1991";"Particular permanente";"1";"1";"17.016";"4225";"4225"
"9115";"Município (1991)";"230080";"Antonina do Norte";"217";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.061";"1096";"1096"
"9115";"Município (1991)";"220080";"Antônio Almeida";"218";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.893";"1054";"1054"
"9115";"Município (1991)";"290170";"Antônio Cardoso";"219";"1991";"8004";"1991";"Particular permanente";"1";"1";"11.289";"2226";"2226"
"9115";"Município (1991)";"310290";"Antônio Carlos";"220";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.732";"2247";"2247"
"9115";"Município (1991)";"420120";"Antônio Carlos";"221";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.590";"1280";"1280"
"9115";"Município (1991)";"310300";"Antônio Dias";"222";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.561";"2110";"2110"
"9115";"Município (1991)";"290180";"Antônio Gonçalves";"223";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.071";"2658";"2658"
