cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
2504900;Cruz do Espírito Santo;PB;2416;2544;3214;4212;5362;6338;6337;975
2505006;Cubati;PB;1413;1550;1632;2028;2627;3521;3521;894
2505105;Cuité;PB;5185;5457;5094;5875;6930;10697;10696;3766
2505204;Cuitegi;PB;1471;1555;1719;1908;2198;2787;2787;589
2505238;Cuité de Mamanguape;PB;;;1472;1732;2102;2695;2693;591
2505279;Curral de Cima;PB;;;1312;1467;1759;2282;2282;523
2505303;Curral Velho;PB;455;483;526;653;739;978;977;238
2505352;Damião;PB;;;855;1377;1788;2602;2602;814
2505402;Desterro;PB;2852;3126;1864;2317;2842;4086;4086;1244
2505501;Vista Serrana;PB;563;631;682;923;1197;1499;1499;302
2505600;Diamante;PB;1433;1497;1561;1764;2097;3004;3004;907
2505709;Dona Inês;PB;2089;2206;2409;2960;3581;4871;4867;1286
2505808;Duas Estradas;PB;1728;1771;1037;1079;1166;1560;1556;390
2505907;Emas;PB;551;550;651;831;974;1356;1350;376
2506004;Esperança;PB;6134;6651;7210;9103;10821;13957;13955;3134
2506103;Fagundes;PB;2773;2811;2876;3252;3784;5356;5354;1570
2506202;Frei Martinho;PB;635;721;785;966;1085;1553;1550;465
2506251;Gado Bravo;PB;;;1888;2234;2749;3892;3890;1141
2506301;Guarabira;PB;10991;12300;13176;16264;19743;24237;24222;4479
2506400;Gurinhém;PB;2719;3008;3141;3872;4535;5808;5803;1268
2506509;Gurjão;PB;1293;1352;717;942;1145;1570;1569;424
2506608;Ibiara;PB;1390;1508;1593;1770;2017;2804;2802;785
2506707;Imaculada;PB;1987;2070;2557;2910;3408;4598;4596;1188
2506806;Ingá;PB;4805;5007;4350;5241;6077;8062;8061;1984
2506905;Itabaiana;PB;6244;6512;6718;7470;8292;10674;10671;2379
2507002;Itaporanga;PB;4152;4704;5034;6437;8186;10841;10841;2655
2507101;Itapororoca;PB;2824;3191;3539;4793;6058;7420;7420;1362
2507200;Itatuba;PB;1999;2138;2285;2837;3484;4447;4433;949
2507309;Jacaraú;PB;4151;4340;3596;4071;4970;6529;6527;1557
2507408;Jericó;PB;1963;2089;1756;2113;2518;3197;3192;674
2507507;João Pessoa;PB;109956;129880;151954;213606;296249;377504;377010;80761
2507606;Juarez Távora;PB;1620;1761;1861;2189;2799;3468;3466;667
2507705;Juazeirinho;PB;3465;3726;3354;4492;5410;7528;7528;2118
2507804;Junco do Seridó;PB;1155;1233;1397;1896;2324;3096;3092;768
2507903;Juripiranga;PB;2202;2390;2451;2909;3316;3999;3995;679
2508000;Juru;PB;2084;2266;2317;2718;3208;4515;4512;1304
2508109;Lagoa;PB;1157;1179;1135;1315;1488;2068;2055;567
2508208;Lagoa de Dentro;PB;1723;1786;1857;2172;2630;3656;3654;1024
2508307;Lagoa Seca;PB;4487;5154;5740;7181;9172;11751;11751;2579
2508406;Lastro;PB;608;661;688;738;973;1250;1244;271
2508505;Livramento;PB;1497;1632;1821;2054;2420;3452;3452;1032
2508554;Logradouro;PB;;;807;1106;1537;2003;2002;465
2508604;Lucena;PB;1637;1840;2226;3110;3928;9292;9290;5362
2508703;Mãe d'Água;PB;940;893;837;1185;1323;1986;1986;663
2508802;Malta;PB;1315;1353;1426;1649;2053;2582;2578;525
2508901;Mamanguape;PB;10836;11626;9313;11583;14486;17358;17351;2865
2509008;Manaíra;PB;2292;2333;2359;2931;3577;5286;5286;1709
2509057;Marcação;PB;;;1410;2043;2762;3738;3738;976
2509107;Mari;PB;4828;5122;5405;6334;7354;9102;9048;1694
2509156;Marizópolis;PB;;;1409;1754;2208;2760;2758;550
2509206;Massaranduba;PB;2644;2769;3013;3778;4859;6548;6547;1688
2509305;Mataraca;PB;1002;1149;1234;1967;2680;3381;3376;696
2509339;Matinhas;PB;;;936;1136;1488;1983;1983;495
2509370;Mato Grosso;PB;;;552;720;826;1100;1098;272
2509396;Maturéia;PB;;;1176;1679;2305;3232;3231;926
2509404;Mogeiro;PB;2739;2863;3093;3618;4796;6483;6481;1685
2509503;Montadas;PB;764;871;959;1452;1951;2433;2432;481
2509602;Monte Horebe;PB;866;949;1047;1311;1573;2250;2243;670
2509701;Monteiro;PB;6641;7052;7698;9777;12129;17609;17605;5476
2509800;Mulungu;PB;2454;2480;2327;2751;3036;4173;4166;1130
2509909;Natuba;PB;2315;2306;2376;2850;3082;4175;4173;1091
2510006;Nazarezinho;PB;1531;1669;1778;2112;2524;3299;3298;774
2510105;Nova Floresta;PB;1730;2161;2398;3174;3577;4780;4776;1199
2510204;Nova Olinda;PB;1188;1507;1431;1684;1970;2848;2848;878
2510303;Nova Palmeira;PB;734;804;887;1313;1544;2199;2196;652
2510402;Olho d'Água;PB;1708;1670;1730;1871;2039;3007;3007;968
2510501;Olivedos;PB;723;773;816;1061;1286;1833;1833;547
2510600;Ouro Velho;PB;676;731;772;942;1120;1545;1545;425
2510659;Parari;PB;;;358;402;644;957;957;313
2510709;Passagem;PB;762;845;499;674;860;1190;1190;330
2510808;Patos;PB;17599;20133;23025;28912;36246;45277;45196;8950
2510907;Paulista;PB;2223;2446;2623;3315;4125;5260;5256;1131
2511004;Pedra Branca;PB;659;706;799;994;1269;1666;1664;395
2511103;Pedra Lavrada;PB;1440;1458;1665;2249;2479;3277;3268;789
2511202;Pedras de Fogo;PB;5519;5650;5951;7392;9752;12221;12216;2464
2511301;Piancó;PB;3494;3726;3832;4623;5638;7204;7204;1566
2511400;Picuí;PB;4431;4633;4548;5439;6560;9715;9715;3155
2511509;Pilar;PB;2964;3110;2528;3178;4152;5209;5204;1052
2511608;Pilões;PB;1434;1402;1564;1727;2084;2671;2669;585
2511707;Pilõezinhos;PB;1097;1181;1231;1433;1737;2214;2214;477
2511806;Pirpirituba;PB;2431;2548;2596;2946;3088;3989;3988;900
